Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,A'ja Wilson (43588335),A'ja Wilson,43588335,F/UTIL,12800,IND@LVA 07/12/2026 09:00PM ET,LVA,49.30
PG/SG,Caitlin Clark (43588337),Caitlin Clark,43588337,G/UTIL,11800,IND@LVA 07/12/2026 09:00PM ET,IND,39.03
SF/PF,Jessica Shepard (43588339),Jessica Shepard,43588339,F/UTIL,11600,CHI@DAL 07/12/2026 07:00PM ET,DAL,39.08
SF/PF,Breanna Stewart (43588341),Breanna Stewart,43588341,F/UTIL,11500,NYL@TOR 07/12/2026 03:00PM ET,NYL,40.35
PG/SG,Jackie Young (43588343),Jackie Young,43588343,G/UTIL,11300,IND@LVA 07/12/2026 09:00PM ET,LVA,35.29
SF/PF,Aliyah Boston (43588345),Aliyah Boston,43588345,F/UTIL,11200,IND@LVA 07/12/2026 09:00PM ET,IND,36.46
PG/SG,Paige Bueckers (43588347),Paige Bueckers,43588347,G/UTIL,11100,CHI@DAL 07/12/2026 07:00PM ET,DAL,37.19
SF/PF,Jonquel Jones (43588349),Jonquel Jones,43588349,F/UTIL,10600,NYL@TOR 07/12/2026 03:00PM ET,NYL,34.66
PG/SG,Kelsey Mitchell (43588351),Kelsey Mitchell,43588351,G/UTIL,10400,IND@LVA 07/12/2026 09:00PM ET,IND,31.52
PG/SG,Sonia Citron (43588353),Sonia Citron,43588353,G/UTIL,10300,SEA@WAS 07/12/2026 03:00PM ET,WAS,32.41
PG/SG,Marina Mabrey (43588355),Marina Mabrey,43588355,G/UTIL,10200,NYL@TOR 07/12/2026 03:00PM ET,TOR,34.16
SF/PF,Kamilla Cardoso (43588357),Kamilla Cardoso,43588357,F/UTIL,10100,CHI@DAL 07/12/2026 07:00PM ET,CHI,32.74
SF/PF,Shakira Austin (43588359),Shakira Austin,43588359,F/UTIL,10000,SEA@WAS 07/12/2026 03:00PM ET,WAS,32.34
SF/PF,Kiki Iriafen (43588361),Kiki Iriafen,43588361,F/UTIL,9900,SEA@WAS 07/12/2026 03:00PM ET,WAS,31.57
SF/PF,Dominique Malonga (43588363),Dominique Malonga,43588363,F/UTIL,9800,SEA@WAS 07/12/2026 03:00PM ET,SEA,30.62
PG/SG,Brittney Sykes (43588365),Brittney Sykes,43588365,G/UTIL,9700,NYL@TOR 07/12/2026 03:00PM ET,TOR,32.98
SF/PF,Isabelle Harrison (43588367),Isabelle Harrison,43588367,F/UTIL,9600,NYL@TOR 07/12/2026 03:00PM ET,TOR,28
PG/SG,Sabrina Ionescu (43588369),Sabrina Ionescu,43588369,G/UTIL,9500,NYL@TOR 07/12/2026 03:00PM ET,NYL,25.54
PG/SG,Natisha Hiedeman (43588371),Natisha Hiedeman,43588371,G/UTIL,9400,SEA@WAS 07/12/2026 03:00PM ET,SEA,28.21
PG/SG,Chelsea Gray (43588373),Chelsea Gray,43588373,G/UTIL,9200,IND@LVA 07/12/2026 09:00PM ET,LVA,30.62
PG/SG,Flau'Jae Johnson (43588375),Flau'Jae Johnson,43588375,G/UTIL,9100,SEA@WAS 07/12/2026 03:00PM ET,SEA,27.14
SF/PF,Azura Stevens (43588377),Azura Stevens,43588377,F/UTIL,9000,CHI@DAL 07/12/2026 07:00PM ET,CHI,24.32
PG/SG,Skylar Diggins (43588379),Skylar Diggins,43588379,G/UTIL,8900,CHI@DAL 07/12/2026 07:00PM ET,CHI,28.40
SF/PF,Nyara Sabally (43588381),Nyara Sabally,43588381,F/UTIL,8500,NYL@TOR 07/12/2026 03:00PM ET,TOR,23.9
SF/PF,Awa Fam (43588383),Awa Fam,43588383,F/UTIL,8200,SEA@WAS 07/12/2026 03:00PM ET,SEA,23.68
PG/SG,Azzi Fudd (43588385),Azzi Fudd,43588385,G/UTIL,8100,CHI@DAL 07/12/2026 07:00PM ET,DAL,23.85
PG/SG,Natasha Cloud (43588387),Natasha Cloud,43588387,G/UTIL,8000,CHI@DAL 07/12/2026 07:00PM ET,CHI,22.24
