Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,Starting
PG/SG,Paige Bueckers (43606252),Paige Bueckers,43606252,G/UTIL,11500,NYL@DAL 07/16/2026 09:00PM ET,DAL,37.7,,
SF/PF,Jessica Shepard (43606254),Jessica Shepard,43606254,F/UTIL,11300,NYL@DAL 07/16/2026 09:00PM ET,DAL,39.1,,
SF/PF,Breanna Stewart (43606256),Breanna Stewart,43606256,F/UTIL,11000,NYL@DAL 07/16/2026 09:00PM ET,NYL,40.4,,
SF/PF,Shakira Austin (43606258),Shakira Austin,43606258,F/UTIL,10500,PDX@WAS 07/16/2026 07:00PM ET,WAS,33.1,,
SF/PF,Jonquel Jones (43606260),Jonquel Jones,43606260,F/UTIL,10400,NYL@DAL 07/16/2026 09:00PM ET,NYL,34.3,,
SF/PF,Kiki Iriafen (43606262),Kiki Iriafen,43606262,F/UTIL,10100,PDX@WAS 07/16/2026 07:00PM ET,WAS,32.5,,
PG/SG,Sonia Citron (43606264),Sonia Citron,43606264,G/UTIL,10000,PDX@WAS 07/16/2026 07:00PM ET,WAS,31.3,,
PG/SG,Sabrina Ionescu (43606266),Sabrina Ionescu,43606266,G/UTIL,9600,NYL@DAL 07/16/2026 09:00PM ET,NYL,27.6,,
SF/PF,Emily Engstler (43606268),Emily Engstler,43606268,F/UTIL,9100,PDX@WAS 07/16/2026 07:00PM ET,PDX,25.4,,
PG/SG,Carla Leite (43606270),Carla Leite,43606270,G/UTIL,8700,PDX@WAS 07/16/2026 07:00PM ET,PDX,26.9,,
SF/PF,Bridget Carleton (43606272),Bridget Carleton,43606272,F/UTIL,8500,PDX@WAS 07/16/2026 07:00PM ET,PDX,26,,
PG/SG,Azzi Fudd (43606274),Azzi Fudd,43606274,G/UTIL,8300,NYL@DAL 07/16/2026 09:00PM ET,DAL,24.1,,
SF/PF,Megan Gustafson (43606276),Megan Gustafson,43606276,F/UTIL,7900,PDX@WAS 07/16/2026 07:00PM ET,PDX,20.9,OUT,
PG/SG,Arike Ogunbowale (43606278),Arike Ogunbowale,43606278,G/UTIL,7700,NYL@DAL 07/16/2026 09:00PM ET,DAL,23.2,,
PG/SG,Sarah Ashlee Barker (43606280),Sarah Ashlee Barker,43606280,G/UTIL,7500,PDX@WAS 07/16/2026 07:00PM ET,PDX,21.8,,
SF/PF,Pauline Astier (43606282),Pauline Astier,43606282,F/UTIL,7100,NYL@DAL 07/16/2026 09:00PM ET,NYL,20.6,,
SF/PF,Awak Kuier (43606284),Awak Kuier,43606284,F/UTIL,6800,NYL@DAL 07/16/2026 09:00PM ET,DAL,14.4,,
SF/PF,Leonie Fiebich (43606286),Leonie Fiebich,43606286,F/UTIL,6600,NYL@DAL 07/16/2026 09:00PM ET,NYL,18.6,OUT,
SF/PF,Michaela Onyenwere (43606288),Michaela Onyenwere,43606288,F/UTIL,6200,PDX@WAS 07/16/2026 07:00PM ET,WAS,17.2,,
SF/PF,Satou Sabally (43606290),Satou Sabally,43606290,F/UTIL,6100,NYL@DAL 07/16/2026 09:00PM ET,NYL,17.1,OUT,
PG/SG,Alicia Florez (43606292),Alicia Florez,43606292,G/UTIL,5700,PDX@WAS 07/16/2026 07:00PM ET,WAS,14.4,,
SF/PF,Lauren Betts (43606294),Lauren Betts,43606294,F/UTIL,5500,PDX@WAS 07/16/2026 07:00PM ET,WAS,14,,
SF/PF,Cotie McMahon (43606296),Cotie McMahon,43606296,F/UTIL,5400,PDX@WAS 07/16/2026 07:00PM ET,WAS,13.8,,
PG/SG,Georgia Amoore (43606298),Georgia Amoore,43606298,G/UTIL,5300,PDX@WAS 07/16/2026 07:00PM ET,WAS,13.2,,
PG/SG,Marine Johannes (43606300),Marine Johannes,43606300,G/UTIL,5100,NYL@DAL 07/16/2026 09:00PM ET,NYL,19.1,,
SF/PF,Frieda Buhner (43606302),Frieda Buhner,43606302,F/UTIL,5000,PDX@WAS 07/16/2026 07:00PM ET,PDX,9.8,,
PG/SG,Teja Oblak (43606304),Teja Oblak,43606304,G/UTIL,4700,PDX@WAS 07/16/2026 07:00PM ET,PDX,13.1,Q,
SF/PF,Li Yueru (43606306),Li Yueru,43606306,F/UTIL,4500,NYL@DAL 07/16/2026 09:00PM ET,DAL,8.3,,
SF/PF,Serah Williams (43606308),Serah Williams,43606308,F/UTIL,4100,PDX@WAS 07/16/2026 07:00PM ET,PDX,8.3,,
SF/PF,Alanna Smith (43606310),Alanna Smith,43606310,F/UTIL,4000,NYL@DAL 07/16/2026 09:00PM ET,DAL,10.6,Q,
SF/PF,Han Xu (43606312),Han Xu,43606312,F/UTIL,3900,NYL@DAL 07/16/2026 09:00PM ET,NYL,11.1,,
PG/SG,Karlie Samuelson (43606314),Karlie Samuelson,43606314,G/UTIL,3800,PDX@WAS 07/16/2026 07:00PM ET,PDX,7.8,,
SF/PF,Nyadiew Puoch (43606316),Nyadiew Puoch,43606316,F/UTIL,3700,PDX@WAS 07/16/2026 07:00PM ET,PDX,8,,
PG/SG,Betnijah Laney-Hamilton (43606318),Betnijah Laney-Hamilton,43606318,G/UTIL,3600,NYL@DAL 07/16/2026 09:00PM ET,NYL,9.8,,
PG/SG,Odyssey Sims (43606320),Odyssey Sims,43606320,G/UTIL,3500,NYL@DAL 07/16/2026 09:00PM ET,DAL,10.7,,
PG/SG,Aziaha James (43606322),Aziaha James,43606322,G/UTIL,3400,NYL@DAL 07/16/2026 09:00PM ET,DAL,13.5,,
PG/SG,Rebekah Gardner (43606324),Rebekah Gardner,43606324,G/UTIL,3400,NYL@DAL 07/16/2026 09:00PM ET,NYL,10.2,,
SF/PF,Maddy Siegrist (43606326),Maddy Siegrist,43606326,F/UTIL,3300,NYL@DAL 07/16/2026 09:00PM ET,DAL,11.8,,
SF/PF,Anneli Maley (43606328),Anneli Maley,43606328,F/UTIL,3300,NYL@DAL 07/16/2026 09:00PM ET,NYL,3.1,,
PG/SG,Cassandre Prosper (43606330),Cassandre Prosper,43606330,G/UTIL,3200,PDX@WAS 07/16/2026 07:00PM ET,WAS,5.4,,
SF/PF,Angela Dugalic (43606332),Angela Dugalic,43606332,F/UTIL,3200,PDX@WAS 07/16/2026 07:00PM ET,WAS,10.1,,
SF/PF,Raquel Carrera (43606334),Raquel Carrera,43606334,F/UTIL,3100,NYL@DAL 07/16/2026 09:00PM ET,NYL,3.9,,
SF/PF,Alysha Clark (43606336),Alysha Clark,43606336,F/UTIL,3100,NYL@DAL 07/16/2026 09:00PM ET,DAL,4.9,,
PG/SG,Lucy Olsen (43606338),Lucy Olsen,43606338,G/UTIL,3000,PDX@WAS 07/16/2026 07:00PM ET,WAS,6,,
PG/SG,Holly Winterburn (43606340),Holly Winterburn,43606340,G/UTIL,3000,PDX@WAS 07/16/2026 07:00PM ET,PDX,5.8,,
SF/PF,Luisa Geiselsoder (43606342),Luisa Geiselsoder,43606342,F/UTIL,3000,PDX@WAS 07/16/2026 07:00PM ET,PDX,12.4,,
PG/SG,Costanza Verona (43606344),Costanza Verona,43606344,G/UTIL,3000,NYL@DAL 07/16/2026 09:00PM ET,DAL,7,,
PG/SG,Haley Jones (43606346),Haley Jones,43606346,G/UTIL,3000,NYL@DAL 07/16/2026 09:00PM ET,DAL,9.7,,
PG/SG,Marine Fauthoux (43606348),Marine Fauthoux,43606348,G/UTIL,3000,NYL@DAL 07/16/2026 09:00PM ET,NYL,1.5,,
SF/PF,Darianna Littlepage-Buggs (43606350),Darianna Littlepage-Buggs,43606350,F/UTIL,3000,PDX@WAS 07/16/2026 07:00PM ET,WAS,0,,
PG/SG,Rebecca Allen (43606352),Rebecca Allen,43606352,G/UTIL,3000,NYL@DAL 07/16/2026 09:00PM ET,NYL,5.1,,
PG/SG,Rori Harmon (43606354),Rori Harmon,43606354,G/UTIL,3000,PDX@WAS 07/16/2026 07:00PM ET,WAS,4.3,,
PG/SG,Sug Sutton (43606356),Sug Sutton,43606356,G/UTIL,3000,NYL@DAL 07/16/2026 09:00PM ET,DAL,10.5,,
PG/SG,Jordan Harrison (43606358),Jordan Harrison,43606358,G/UTIL,3000,PDX@WAS 07/16/2026 07:00PM ET,PDX,9,,
SF/PF,Sania Feagin (43606360),Sania Feagin,43606360,F/UTIL,3000,PDX@WAS 07/16/2026 07:00PM ET,PDX,1.4,OUT,
