lineup,slot,name,team,opp,salary,proj
1,G,Caitlin Clark,IND,LAS,11500,40.23
1,G,Marina Mabrey,TOR,GSV,10800,37.23
1,F,Aliyah Boston,IND,LAS,11300,38.2
1,F,Iliana Rupert,GSV,TOR,3000,17.89
1,F,Emma Cechova,MIN,CON,3000,13.38
1,UTIL,Courtney Williams,MIN,CON,10100,32.11
2,G,Caitlin Clark,IND,LAS,11500,40.23
2,G,Marina Mabrey,TOR,GSV,10800,37.23
2,F,Aliyah Boston,IND,LAS,11300,38.2
2,F,Iliana Rupert,GSV,TOR,3000,17.89
2,F,Emma Cechova,MIN,CON,3000,13.38
2,UTIL,Kelsey Mitchell,IND,LAS,10300,31.52
3,G,Caitlin Clark,IND,LAS,11500,40.23
3,G,Marina Mabrey,TOR,GSV,10800,37.23
3,F,Aliyah Boston,IND,LAS,11300,38.2
3,F,Cameron Brink,LAS,IND,6500,20.14
3,F,Iliana Rupert,GSV,TOR,3000,17.89
3,UTIL,Aneesah Morrow,CON,MIN,6300,24.21
4,G,Caitlin Clark,IND,LAS,11500,40.23
4,G,Marina Mabrey,TOR,GSV,10800,37.23
4,F,Aliyah Boston,IND,LAS,11300,38.2
4,F,Brittney Griner,CON,MIN,9500,30.58
4,F,Iliana Rupert,GSV,TOR,3000,17.89
4,UTIL,Emma Cechova,MIN,CON,3000,13.38
5,G,Caitlin Clark,IND,LAS,11500,40.23
5,G,Julie Allemand,TOR,GSV,7400,22.81
5,F,Nneka Ogwumike,LAS,IND,11000,34.77
5,F,Aneesah Morrow,CON,MIN,6300,24.21
5,F,Iliana Rupert,GSV,TOR,3000,17.89
5,UTIL,Marina Mabrey,TOR,GSV,10800,37.23
