player_id,player_name,player_url,team_code,season,number,pos,height,weight,birth_date,experience,college
caldwma01w,Maya Caldwell,https://www.basketball-reference.com/wnba/players/c/caldwma01w.html,ATL,2025,33,G,5-11,159,"December 15, 1998",3,Georgia
canadjo01w,Jordin Canada,https://www.basketball-reference.com/wnba/players/c/canadjo01w.html,ATL,2025,3,G,5-6,135,"August 11, 1995",7,UCLA
coffeni01w,Nia Coffey,https://www.basketball-reference.com/wnba/players/c/coffeni01w.html,ATL,2025,12,F,6-1,177,"June 11, 1995",8,Northwestern
grayal01w,Allisha Gray,https://www.basketball-reference.com/wnba/players/g/grayal01w.html,ATL,2025,15,G,6-0,167,"January 12, 1995",8,"UNC, South Carolina"
grinebr01w,Brittney Griner,https://www.basketball-reference.com/wnba/players/g/grinebr01w.html,ATL,2025,42,C,6-9,219,"October 18, 1990",11,Baylor
hillmna01w,Naz Hillmon,https://www.basketball-reference.com/wnba/players/h/hillmna01w.html,ATL,2025,00,F,6-2,190,"April 5, 2000",3,Michigan
howarrh01w,Rhyne Howard,https://www.basketball-reference.com/wnba/players/h/howarrh01w.html,ATL,2025,10,G,6-2,175,"April 29, 2000",3,Kentucky
jonesbr01w,Brionna Jones,https://www.basketball-reference.com/wnba/players/j/jonesbr01w.html,ATL,2025,24,F,6-3,215,"December 18, 1995",8,Maryland
konesi01w,Sika Koné,https://www.basketball-reference.com/wnba/players/k/konesi01w.html,ATL,2025,23,F,6-3,180,"July 13, 2002",2,
paopate01w,Te-Hina PaoPao,https://www.basketball-reference.com/wnba/players/p/paopate01w.html,ATL,2025,2,G,5-9,,"August 21, 2002",R,"Oregon, South Carolina"
smallka01w,Kamiah Smalls,https://www.basketball-reference.com/wnba/players/s/smallka01w.html,ATL,2025,1,G,5-10,161,"April 17, 1998",2,James Madison University
thierta01w,Taylor Thierry,https://www.basketball-reference.com/wnba/players/t/thierta01w.html,ATL,2025,5,G-F,6-1,,"January 8, 2003",R,Ohio State
