name,team,opp,slot,salary,game,dk_avg,proj,games,cur_games,last_game,proj_min,recent,season_avg,vol,def_factor,notes,opt,value
Marina Mabrey,TOR,WAS,G,10500,WAS@TOR,34.4,36.35,56,21,2026-07-10,30.8,37.56,36.29,12.48,1.0,High Usage/FPPM (1.21),36.35,3.46
Kiki Iriafen,WAS,TOR,F,9900,WAS@TOR,31.9,34.48,61,17,2026-07-06,31.2,32.49,34.91,11.82,1.011,Weak Defensive Opponent,34.48,3.48
Brittney Griner,CON,POR,F,10400,POR@CON,28.2,34.0,55,13,2026-07-06,26.8,32.21,29.59,11.78,1.019,High Usage/FPPM (1.17); Weak Defensive Opponent,34.0,3.27
Shakira Austin,WAS,TOR,F,10200,WAS@TOR,32.8,33.67,57,19,2026-07-06,29.2,32.4,32.86,7.38,1.011,High Usage/FPPM (1.11); Weak Defensive Opponent,33.67,3.3
Leila Lacan,CON,POR,G,9100,POR@CON,25.6,30.96,39,14,2026-07-10,30.3,27.75,26.84,5.84,1.058,Weak Defensive Opponent,30.96,3.4
Olivia Nelson-Ododa,CON,POR,F,9000,POR@CON,21.7,29.96,56,19,2026-07-10,25.0,27.93,26.92,8.93,1.019,High Usage/FPPM (1.10); Weak Defensive Opponent,29.96,3.33
Isabelle Harrison,TOR,WAS,F,9400,WAS@TOR,27.4,29.72,47,12,2026-07-10,27.2,29.95,30.67,6.08,1.005,High Usage/FPPM (1.11),29.72,3.16
Carla Leite,POR,CON,G,8400,POR@CON,27.0,29.45,60,21,2026-07-11,26.7,30.08,28.6,11.5,1.019,High Usage/FPPM (1.11),29.45,3.51
Emily Engstler,POR,CON,F,8600,POR@CON,24.7,27.27,63,23,2026-07-11,25.4,28.66,26.51,6.61,0.999,,27.27,3.17
Bridget Carleton,POR,CON,F,8300,POR@CON,25.9,26.74,72,22,2026-07-11,32.7,27.09,27.85,9.72,0.999,,26.74,3.22
Julie Allemand,TOR,WAS,G,8000,WAS@TOR,22.4,25.8,50,16,2026-07-10,32.4,27.01,25.12,13.49,1.0,,25.8,3.22
Megan Gustafson,POR,CON,F,7900,POR@CON,20.7,25.02,53,23,2026-07-11,28.4,25.35,26.07,7.59,0.999,,25.02,3.17
Sarah Ashlee Barker,POR,CON,G,7000,POR@CON,22.0,24.52,56,22,2026-07-09,29.6,24.03,25.69,4.55,1.019,,24.52,3.5
Maria Conde,TOR,WAS,F,8200,WAS@TOR,19.0,22.99,22,22,2026-07-10,32.0,23.54,23.03,6.7,1.005,,22.99,2.8
Charlisse Leger-Walker,CON,POR,G,7200,POR@CON,15.9,22.83,23,23,2026-07-10,26.6,20.59,19.58,7.2,1.058,Weak Defensive Opponent,22.83,3.17
Laura Juskaite,TOR,WAS,F,7300,WAS@TOR,20.0,21.14,22,22,2026-07-10,24.1,21.89,20.7,10.52,1.005,,21.14,2.9
Nyara Sabally,TOR,WAS,F,7600,WAS@TOR,24.0,20.11,33,15,2026-07-08,21.2,20.07,21.11,11.11,1.005,,20.11,2.65
Kennedy Burke,CON,POR,G,6600,POR@CON,17.8,19.53,61,22,2026-07-10,24.4,16.81,18.22,7.3,1.058,Weak Defensive Opponent,19.53,2.96
Michaela Onyenwere,WAS,TOR,F,5900,WAS@TOR,16.6,18.51,58,16,2026-07-06,29.4,16.98,19.6,13.96,1.011,Weak Defensive Opponent,18.51,3.14
Diamond Miller,CON,POR,F,5800,POR@CON,15.1,17.72,63,23,2026-07-10,22.8,16.51,15.95,4.22,1.019,Weak Defensive Opponent,17.72,3.06
Alicia Florez,WAS,TOR,G,5700,WAS@TOR,14.9,16.8,11,11,2026-07-06,19.8,16.16,15.39,9.57,1.034,Weak Defensive Opponent,16.8,2.95
Cotie McMahon,WAS,TOR,F,5600,WAS@TOR,13.9,16.6,18,18,2026-07-06,26.0,15.33,17.39,5.77,1.011,Weak Defensive Opponent,16.6,2.96
