Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5186476839,jwclark311 (56/150),0,240.5,F Nneka Ogwumike F Maria Conde F Laura Juskaite G Paige Bueckers G Ariel Atkins UTIL Rae Burrell,,Jessica Shepard,F,44.56%,47.25
2,5186476924,jwclark311 (141/150),0,238,F Nneka Ogwumike F Laura Juskaite F Laeticia Amihere G Paige Bueckers G Marina Mabrey UTIL Rae Burrell,,Marina Mabrey,G,34.05%,38.25
3,5186670154,ChickenDinner1970 (97/100),0,236.75,F Nneka Ogwumike F Janelle Salaun F Nell Angloma G Paige Bueckers G Marina Mabrey UTIL Erica Wheeler,,Paige Bueckers,G,30.84%,55
4,5186611051,michaelaedelstein (20/98),0,235.75,F Nneka Ogwumike F Dearica Hamby F Nell Angloma G Paige Bueckers G Arike Ogunbowale UTIL Erica Wheeler,,Isabelle Harrison,F,27.56%,32
5,5186268237,Ocin_D_Clown (69/150),0,233.25,F Jessica Shepard F Janelle Salaun F Laura Juskaite G Paige Bueckers G Marina Mabrey UTIL Nell Angloma,,Kamilla Cardoso,F,26.90%,30
6,5186268222,Ocin_D_Clown (54/150),0,232.25,F Jessica Shepard F Laura Juskaite F Nell Angloma G Paige Bueckers G Marina Mabrey UTIL Arike Ogunbowale,,Dearica Hamby,F,25.04%,38.25
6,5186611058,michaelaedelstein (27/98),0,232.25,F Jessica Shepard F Laura Juskaite F Nell Angloma G Paige Bueckers G Marina Mabrey UTIL Arike Ogunbowale,,Nneka Ogwumike,F,22.05%,53.5
8,5186616183,datyoungreezy (61/150),0,231.75,F Nneka Ogwumike F Olivia Nelson-Ododa F Laura Juskaite G Paige Bueckers G Kaila Charles UTIL Ariel Atkins,,Olivia Nelson-Ododa,F,21.03%,30
9,5186316465,ivymoose (41/64),0,231.5,F Nneka Ogwumike F Olivia Nelson-Ododa F Laura Juskaite G Paige Bueckers G Kaila Charles UTIL Erica Wheeler,,Awak Kuier,F,17.93%,10.25
10,5186417994,cptnspaulding (3/150),0,230.25,F Nneka Ogwumike F Dearica Hamby F Laura Juskaite G Paige Bueckers G Tiffany Hayes UTIL Rae Burrell,,Laura Juskaite,F,15.85%,38.75
10,5186418107,cptnspaulding (116/150),0,230.25,F Nneka Ogwumike F Dearica Hamby F Laura Juskaite G Paige Bueckers G Tiffany Hayes UTIL Rae Burrell,,Azzi Fudd,G,14.94%,22
12,5186144486,niquisition (34/83),0,230,F Nneka Ogwumike F Kamilla Cardoso F Laura Juskaite G Paige Bueckers G Tiffany Hayes UTIL Ariel Atkins,,Azura Stevens,F,14.82%,24.5
12,5186670110,ChickenDinner1970 (53/100),0,230,F Dearica Hamby F Janelle Salaun F Laura Juskaite G Paige Bueckers G Ariel Atkins UTIL Natasha Cloud,,Janelle Salaun,F,12.90%,35.75
14,5186338540,milligolf (54/150),0,229.75,F Nneka Ogwumike F Kamilla Cardoso F Laura Juskaite G Paige Bueckers G Tiffany Hayes UTIL Erica Wheeler,,Rae Burrell,UTIL,12.01%,28.25
15,5186168484,afcgreen27 (28/38),0,228.75,F Jessica Shepard F Nneka Ogwumike F Laeticia Amihere G Paige Bueckers G Erica Wheeler UTIL Kaitlyn Chen,,Rae Burrell,G,11.72%,28.25
