Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SG,Caitlin Clark (43509663),Caitlin Clark,43509663,G/UTIL,11500,IND@LAS 07/08/2026 10:00PM ET,IND,40.21
SF/PF,Aliyah Boston (43509665),Aliyah Boston,43509665,F/UTIL,11300,IND@LAS 07/08/2026 10:00PM ET,IND,36.42
SF/PF,Natasha Howard (43509667),Natasha Howard,43509667,F/UTIL,11100,MIN@CON 07/08/2026 07:30PM ET,MIN,35.37
SF/PF,Nneka Ogwumike (43509669),Nneka Ogwumike,43509669,F/UTIL,11000,IND@LAS 07/08/2026 10:00PM ET,LAS,34.22
PG/SG,Kelsey Plum (43509671),Kelsey Plum,43509671,G/UTIL,10900,IND@LAS 07/08/2026 10:00PM ET,LAS,38.46
PG/SG,Marina Mabrey (43509673),Marina Mabrey,43509673,G/UTIL,10800,GSV@TOR 07/08/2026 07:00PM ET,TOR,34.47
PG/SG,Olivia Miles (43509675),Olivia Miles,43509675,G/UTIL,10500,MIN@CON 07/08/2026 07:30PM ET,MIN,36.28
SF/PF,Napheesa Collier (43509677),Napheesa Collier,43509677,F/UTIL,10400,MIN@CON 07/08/2026 07:30PM ET,MIN,0
PG/SG,Kelsey Mitchell (43509679),Kelsey Mitchell,43509679,G/UTIL,10300,IND@LAS 07/08/2026 10:00PM ET,IND,29.82
PG/SG,Courtney Williams (43509681),Courtney Williams,43509681,G/UTIL,10100,MIN@CON 07/08/2026 07:30PM ET,MIN,32.39
SF/PF,Dearica Hamby (43509683),Dearica Hamby,43509683,F/UTIL,10000,IND@LAS 07/08/2026 10:00PM ET,LAS,30.13
PG/SG,Brittney Sykes (43509685),Brittney Sykes,43509685,G/UTIL,9700,GSV@TOR 07/08/2026 07:00PM ET,TOR,32.98
SF/PF,Brittney Griner (43509687),Brittney Griner,43509687,F/UTIL,9500,MIN@CON 07/08/2026 07:30PM ET,CON,28.21
PG/SG,Veronica Burton (43509689),Veronica Burton,43509689,G/UTIL,9400,GSV@TOR 07/08/2026 07:00PM ET,GSV,27.81
SF/PF,Gabby Williams (43509691),Gabby Williams,43509691,F/UTIL,9200,GSV@TOR 07/08/2026 07:00PM ET,GSV,26.78
PG/SG,Kayla McBride (43509693),Kayla McBride,43509693,G/UTIL,9000,MIN@CON 07/08/2026 07:30PM ET,MIN,27.42
SF/PF,Isabelle Harrison (43509695),Isabelle Harrison,43509695,F/UTIL,8800,GSV@TOR 07/08/2026 07:00PM ET,TOR,26.85
SF/PF,Nyara Sabally (43509697),Nyara Sabally,43509697,F/UTIL,8700,GSV@TOR 07/08/2026 07:00PM ET,TOR,25.30
PG/SG,Leila Lacan (43509699),Leila Lacan,43509699,G/UTIL,8600,MIN@CON 07/08/2026 07:30PM ET,CON,25.15
SF/PF,Olivia Nelson-Ododa (43509701),Olivia Nelson-Ododa,43509701,F/UTIL,8400,MIN@CON 07/08/2026 07:30PM ET,CON,20.98
SF/PF,Nia Coffey (43509703),Nia Coffey,43509703,F/UTIL,8200,MIN@CON 07/08/2026 07:30PM ET,MIN,25.27
SF/PF,Maria Conde (43509705),Maria Conde,43509705,F/UTIL,7800,GSV@TOR 07/08/2026 07:00PM ET,TOR,18.36
PG/SG,Charlisse Leger-Walker (43509707),Charlisse Leger-Walker,43509707,G/UTIL,7600,MIN@CON 07/08/2026 07:30PM ET,CON,15.58
PG/SG,Julie Allemand (43509709),Julie Allemand,43509709,G/UTIL,7400,GSV@TOR 07/08/2026 07:00PM ET,TOR,21.64
PG/SG,Kiki Rice (43509711),Kiki Rice,43509711,G/UTIL,7300,GSV@TOR 07/08/2026 07:00PM ET,TOR,24.48
SF/PF,Monique Billings (43509713),Monique Billings,43509713,F/UTIL,7200,IND@LAS 07/08/2026 10:00PM ET,IND,17.36
PG/SG,Rae Burrell (43509715),Rae Burrell,43509715,G/UTIL,7100,IND@LAS 07/08/2026 10:00PM ET,LAS,18.71
SF/PF,Kiah Stokes (43509717),Kiah Stokes,43509717,F/UTIL,7000,GSV@TOR 07/08/2026 07:00PM ET,GSV,17.92
PG/SG,Ariel Atkins (43509719),Ariel Atkins,43509719,G/UTIL,6900,IND@LAS 07/08/2026 10:00PM ET,LAS,18.38
PG/SG,Erica Wheeler (43509721),Erica Wheeler,43509721,G/UTIL,6800,IND@LAS 07/08/2026 10:00PM ET,LAS,18.36
